,b,c,e,f,g,h,i,m,n
113,ZIRQ7525,3,Panchkula,Panchkula Sub-District,Raipur Rai,Raipur Rai#Panchkula,A,Raipur Rai (Panchkula Sub-District),Panchkula Sub-District (Raipur Rai)
114,QREA8918,3,Panipat,Samalkha Sub-District,Bapauli,Bapauli#Panipat,A,Bapauli (Samalkha Sub-District),Samalkha Sub-District (Bapauli)
115,IPYF3319,3,Panipat,Israna,Israna,Israna#Panipat,A,Israna (Israna),Israna (Israna)
116,SLOD2713,3,Panipat,Panipat Sub-District,Madlauda,Madlauda#Panipat,A,Madlauda (Panipat Sub-District),Panipat Sub-District (Madlauda)
117,JJQA8051,3,Panipat,Panipat,Panipat,Panipat#Panipat,A,Panipat (Panipat),Panipat (Panipat)
118,LENQ8228,3,Panipat,Samalkha,Samalkha,Samalkha#Panipat,A,Samalkha (Samalkha),Samalkha (Samalkha)
119,DKHY4545,3,Rewari,Kosli,Kosli,Kosli#Rewari,A,Kosli (Kosli),Kosli (Kosli)
120,KFUL5009,3,Rewari,Rewari,Rewari,Rewari#Rewari,A,Rewari (Rewari),Rewari (Rewari)
121,TDFU5469,3,Rohtak,Maham,Meham,Meham#Rohtak,A,Meham (Maham),Maham (Meham)
122,EOYC3444,3,Rohtak,Rohtak,"New Grain Market , Rohtak","New Grain Market , Rohtak#Rohtak",A,"New Grain Market , Rohtak (Rohtak)","Rohtak (New Grain Market , Rohtak)"
123,UKQL2832,3,Rohtak,Rohtak,Rohtak,Rohtak#Rohtak,A,Rohtak (Rohtak),Rohtak (Rohtak)
124,RPMG9372,3,Rohtak,Sampla,Sampla,Sampla#Rohtak,A,Sampla (Sampla),Sampla (Sampla)
125,LXSB3126,3,Sirsa,Malout Sub-District,Dabwali,Dabwali#Sirsa,A,Dabwali (Malout Sub-District),Malout Sub-District (Dabwali)
126,YREG3551,3,Sirsa,Ellenabad,Ellanabad,Ellanabad#Sirsa,A,Ellanabad (Ellenabad),Ellenabad (Ellanabad)
127,JIUV5416,3,Sirsa,Rania,Rania,Rania#Sirsa,A,Rania (Rania),Rania (Rania)
128,SUHK4382,3,Sirsa,Sirsa,Sirsa,Sirsa#Sirsa,A,Sirsa (Sirsa),Sirsa (Sirsa)
129,JLWK1834,3,Sirsa,Kalanwali,kalanwali,kalanwali#Sirsa,A,kalanwali (Kalanwali),Kalanwali (kalanwali)
130,NPDG2528,3,Sonipat,Ganaur,Ganaur,Ganaur#Sonipat,A,Ganaur (Ganaur),Ganaur (Ganaur)
131,DAGF1849,3,Sonipat,Gohana,Gohana,Gohana#Sonipat,A,Gohana (Gohana),Gohana (Gohana)
132,HDGY5245,3,Sonipat,Sonipat,Sonepat,Sonepat#Sonipat,A,Sonepat (Sonipat),Sonipat (Sonepat)
