85,UUUT7751,Haryana,Kaithal,Kaithal,Kaithal,Kaithal#Kaithal,A,29.7856734,76.3984537,136027,Kaithal (Kaithal),Kaithal (Kaithal)
86,UTGR8640,Haryana,Kaithal,Kaithal Sub-District,Kalayat,Kalayat#Kaithal,A,29.6764997,76.2508086,136117,Kalayat (Kaithal Sub-District),Kaithal Sub-District (Kalayat)
87,HOOB8515,Haryana,Kaithal,Fatehpur Pundri,Pundri,Pundri#Kaithal,A,29.7621028,76.5546031,136026,Pundri (Fatehpur Pundri),Fatehpur Pundri (Pundri)
88,MUIQ6155,Haryana,Karnal,Assandh,Asandh,Asandh#Karnal,A,29.5201121,76.6141754,132039,Asandh (Assandh),Assandh (Asandh)
89,VYLC8800,Haryana,Karnal,Gharaunda,Gharaunda,Gharaunda#Karnal,A,29.5424235,76.9700669,132114,Gharaunda (Gharaunda),Gharaunda (Gharaunda)
90,SBJS3598,Haryana,Karnal,Indri,Indri,Indri#Karnal,A,29.8811462,77.0541183,132041,Indri (Indri),Indri (Indri)
91,TOKT1402,Haryana,Karnal,Karnal Sub-District,Jundla,Jundla#Karnal,A,29.6509413,76.8735374,132001,Jundla (Karnal Sub-District),Karnal Sub-District (Jundla)
92,OEEE3131,Haryana,Karnal,Karnal,"New Grain Market(main), Karnal","New Grain Market(main), Karnal#Karnal",A,29.6615287,76.9803932,132001,"New Grain Market(main), Karnal (Karnal)","Karnal (New Grain Market(main), Karnal)"
93,AWIN1733,Haryana,Karnal,Nilokheri,Nilokheri,Nilokheri#Karnal,A,29.8374476,76.9326167,132117,Nilokheri (Nilokheri),Nilokheri (Nilokheri)
94,OMSR2446,Haryana,Karnal,Nilokheri Sub-District,Tarori,Tarori#Karnal,A,29.7996282,76.9239727,132116,Tarori (Nilokheri Sub-District),Nilokheri Sub-District (Tarori)
95,GEDA9732,Haryana,Kurukshetra,Thanesar Sub-District,Babain,Babain#Kurukshetra,A,30.0755238,76.9844677,136156,Babain (Thanesar Sub-District),Thanesar Sub-District (Babain)
96,MRIG9177,Haryana,Kurukshetra,Pehowa,Iamailabad,Iamailabad#Kurukshetra,A,30.1170485,76.6672602,136129,Iamailabad (Pehowa),Pehowa (Iamailabad)
97,DFQO7514,Haryana,Kurukshetra,Thanesar Sub-District,Ladwa,Ladwa#Kurukshetra,A,29.9960274,77.0446062,136132,Ladwa (Thanesar Sub-District),Thanesar Sub-District (Ladwa)
98,QTGT1701,Haryana,Kurukshetra,Pehowa,Pehowa,Pehowa#Kurukshetra,A,29.9814167,76.5892774,136128,Pehowa (Pehowa),Pehowa (Pehowa)
99,ORWV3066,Haryana,Kurukshetra,Shahabad,Shahabad,Shahabad#Kurukshetra,A,30.1672152,76.8683714,136135,Shahabad (Shahabad),Shahabad (Shahabad)
100,YJIU9548,Haryana,Kurukshetra,Kurukshetra,Thanesar,Thanesar#Kurukshetra,A,29.9696148,76.8197522,136118,Thanesar (Kurukshetra),Kurukshetra (Thanesar)
101,EURN7416,Haryana,Mahendragarh-Narnaul,Narnaul Sub-District,Ateli,Ateli#Mahendragarh-Narnaul,A,28.1056349,76.2800859,123021,Ateli (Narnaul Sub-District),Narnaul Sub-District (Ateli)
102,YNVQ7403,Haryana,Mahendragarh-Narnaul,Narnaul,Khanina,Khanina#Mahendragarh-Narnaul,A,28.0657961,76.1014782,123001,Khanina (Narnaul),Narnaul (Khanina)
103,YDJP4488,Haryana,Mahendragarh-Narnaul,Narnaul,Mohindergarh,Mohindergarh#Mahendragarh-Narnaul,A,28.0657961,76.1014781,123001,Mohindergarh (Narnaul),Narnaul (Mohindergarh)
104,ZPNH7292,Haryana,Mahendragarh-Narnaul,Narnaul,Narnaul,Narnaul#Mahendragarh-Narnaul,A,28.0657961,76.1014781,123001,Narnaul (Narnaul),Narnaul (Narnaul)
105,JOKW7436,Haryana,Mewat,Hathin,Hathin,Hathin#Mewat,A,28.0359281,77.2318934,121103,Hathin (Hathin),Hathin (Hathin)
106,SSLC2299,Haryana,Mewat,Nuh Sub-District,Nuh,Nuh#Mewat,A,28.0106916,77.0564464,122108,Nuh (Nuh Sub-District),Nuh Sub-District (Nuh)
107,JKFV2975,Haryana,Mewat,Punahana,Punhana,Punhana#Mewat,A,27.8619041,77.2054992,122508,Punhana (Punahana),Punahana (Punhana)
108,WPXT6983,Haryana,Mewat,Taoru,Taura,Taura#Mewat,A,28.2119674,76.9512041,122105,Taura (Taoru),Taoru (Taura)
109,IZYA5283,Haryana,Palwal,Hassanpur,Hassanpur,Hassanpur#Palwal,A,27.9657387,77.4988753,121107,Hassanpur (Hassanpur),Hassanpur (Hassanpur)
110,RYFK4232,Haryana,Palwal,Hodal,Hodal,Hodal#Palwal,A,27.8975511,77.3841197,121106,Hodal (Hodal),Hodal (Hodal)
111,XDWS7410,Haryana,Palwal,Palwal,Palwal,Palwal#Palwal,A,28.1487362,77.3320262,121102,Palwal (Palwal),Palwal (Palwal)
112,SYXI5766,Haryana,Panchkula,Panchkula Sub-District,Barwala,Barwala#Panchkula,A,30.5567901,76.9398195,134118,Barwala (Panchkula Sub-District),Panchkula Sub-District (Barwala)
113,BIEP6037,Haryana,Panchkula,Panchkula,Panchkula,Panchkula#Panchkula,A,30.6942091,76.860565,134112,Panchkula (Panchkula),Panchkula (Panchkula)
114,ZIRQ7525,Haryana,Panchkula,Panchkula Sub-District,Raipur Rai,Raipur Rai#Panchkula,A,30.583187,77.0190228,134204,Raipur Rai (Panchkula Sub-District),Panchkula Sub-District (Raipur Rai)
115,QREA8918,Haryana,Panipat,Samalkha Sub-District,Bapauli,Bapauli#Panipat,A,29.3384021,77.083787,132104,Bapauli (Samalkha Sub-District),Samalkha Sub-District (Bapauli)
116,IPYF3319,Haryana,Panipat,Israna,Israna,Israna#Panipat,A,29.27698,76.8519159,132107,Israna (Israna),Israna (Israna)
117,SLOD2713,Haryana,Panipat,Panipat Sub-District,Madlauda,Madlauda#Panipat,A,29.4032893,76.8014102,132113,Madlauda (Panipat Sub-District),Panipat Sub-District (Madlauda)
118,JJQA8051,Haryana,Panipat,Panipat,Panipat,Panipat#Panipat,A,29.3909464,76.9635023,132103,Panipat (Panipat),Panipat (Panipat)
119,LENQ8228,Haryana,Panipat,Samalkha,Samalkha,Samalkha#Panipat,A,29.2405272,77.0117647,132101,Samalkha (Samalkha),Samalkha (Samalkha)
120,DKHY4545,Haryana,Rewari,Kosli,Kosli,Kosli#Rewari,A,28.3968505,76.4852265,123302,Kosli (Kosli),Kosli (Kosli)
121,KFUL5009,Haryana,Rewari,Rewari,Rewari,Rewari#Rewari,A,28.1927631,76.6239423,123401,Rewari (Rewari),Rewari (Rewari)
122,TDFU5469,Haryana,Rohtak,Maham,Meham,Meham#Rohtak,A,28.9658949,76.2963954,124112,Meham (Maham),Maham (Meham)
123,EOYC3444,Haryana,Rohtak,Rohtak,"New Grain Market , Rohtak","New Grain Market , Rohtak#Rohtak",A,28.8875862,76.5704967,124001,"New Grain Market , Rohtak (Rohtak)","Rohtak (New Grain Market , Rohtak)"
124,UKQL2832,Haryana,Rohtak,Rohtak,Rohtak,Rohtak#Rohtak,A,28.8955152,76.606611,124001,Rohtak (Rohtak),Rohtak (Rohtak)
125,RPMG9372,Haryana,Rohtak,Sampla,Sampla,Sampla#Rohtak,A,28.7775769,76.7711626,124501,Sampla (Sampla),Sampla (Sampla)
126,LXSB3126,Haryana,Sirsa,Malout Sub-District,Dabwali,Dabwali#Sirsa,A,29.9671034,74.7001328,151211,Dabwali (Malout Sub-District),Malout Sub-District (Dabwali)
127,YREG3551,Haryana,Sirsa,Ellenabad,Ellanabad,Ellanabad#Sirsa,A,29.4522574,74.6693186,125102,Ellanabad (Ellenabad),Ellenabad (Ellanabad)
128,JIUV5416,Haryana,Sirsa,Rania,Rania,Rania#Sirsa,A,29.5255162,74.8360918,125076,Rania (Rania),Rania (Rania)
129,SUHK4382,Haryana,Sirsa,Sirsa,Sirsa,Sirsa#Sirsa,A,29.5335931,75.0177029,125055,Sirsa (Sirsa),Sirsa (Sirsa)
130,JLWK1834,Haryana,Sirsa,Kalanwali,kalanwali,kalanwali#Sirsa,A,29.822711,74.9747614,125201,kalanwali (Kalanwali),Kalanwali (kalanwali)
131,NPDG2528,Haryana,Sonipat,Ganaur,Ganaur,Ganaur#Sonipat,A,29.1349669,77.0180345,131101,Ganaur (Ganaur),Ganaur (Ganaur)
132,DAGF1849,Haryana,Sonipat,Gohana,Gohana,Gohana#Sonipat,A,29.1384064,76.6932438,131301,Gohana (Gohana),Gohana (Gohana)
133,HDGY5245,Haryana,Sonipat,Sonipat,Sonepat,Sonepat#Sonipat,A,28.9930823,77.0150735,131001,Sonepat (Sonipat),Sonipat (Sonepat)
134,IDHY8070,Haryana,Sonipat,Kharkhoda,Sonepat(Kharkhoda),Sonepat(Kharkhoda)#Sonipat,A,28.8744896,76.9124465,131402,Sonepat(Kharkhoda) (Kharkhoda),Kharkhoda (Sonepat(Kharkhoda))
135,QPET6819,Haryana,Yamuna Nagar,Bilaspur,Bilaspur,Bilaspur#Yamuna Nagar,A,30.2998007,77.3008506,135102,Bilaspur (Bilaspur),Bilaspur (Bilaspur)
136,PIYI6288,Haryana,Yamuna Nagar,Chhachhrauli,Chhachhrauli(Khizrabad),Chhachhrauli(Khizrabad)#Yamuna Nagar,A,30.2430239,77.358284,135103,Chhachhrauli(Khizrabad) (Chhachhrauli),Chhachhrauli (Chhachhrauli(Khizrabad))
137,BTEE5151,Haryana,Yamuna Nagar,Chhachhrauli,Chhachrauli,Chhachrauli#Yamuna Nagar,A,30.2430239,77.358284,135103,Chhachrauli (Chhachhrauli),Chhachhrauli (Chhachrauli)
138,ACYS9490,Haryana,Yamuna Nagar,Yamunanagar,Jagadhri,Jagadhri#Yamuna Nagar,A,30.1680858,77.2969204,135003,Jagadhri (Yamunanagar),Yamunanagar (Jagadhri)
139,RGSO5859,Haryana,Yamuna Nagar,Jagadhri,Mustafabad,Mustafabad#Yamuna Nagar,A,30.199406,77.1456402,133103,Mustafabad (Jagadhri),Jagadhri (Mustafabad)
140,QDPK2573,Haryana,Yamuna Nagar,Jagadhri,Radaur,Radaur#Yamuna Nagar,A,30.0271643,77.149294,135133,Radaur (Jagadhri),Jagadhri (Radaur)
141,GORY7786,Haryana,Yamuna Nagar,Bilaspur,Sadhaura,Sadhaura#Yamuna Nagar,A,30.3819985,77.2146478,133204,Sadhaura (Bilaspur),Bilaspur (Sadhaura)
142,EXKN4881,Haryana,Yamuna Nagar,Yamunanagar,Yamuna Nagar,Yamuna Nagar#Yamuna Nagar,A,30.1290485,77.2673901,135001,Yamuna Nagar (Yamunanagar),Yamunanagar (Yamuna Nagar)
143,IMTW9679,Himachal Pradesh,Bilaspur,Namhol,Namhol(Bilaspur),Namhol(Bilaspur)#Bilaspur,A,31.2568523,76.8598442,174032,Namhol(Bilaspur) (Namhol),Namhol (Namhol(Bilaspur))
144,KEAS9174,Himachal Pradesh,Chamba,Chamba,Chamba,Chamba#Chamba,A,32.5533633,76.1258083,176310,Chamba (Chamba),Chamba (Chamba)
145,NORK2890,Himachal Pradesh,Hamirpur,Hamirpur,Hamirpur,Hamirpur#Hamirpur,A,31.6861745,76.5213092,177001,Hamirpur (Hamirpur),Hamirpur (Hamirpur)
146,KVOJ7409,Himachal Pradesh,Hamirpur,Nadaun,Hamirpur(Nadaun),Hamirpur(Nadaun)#Hamirpur,A,31.7785034,76.3444587,177033,Hamirpur(Nadaun) (Nadaun),Nadaun (Hamirpur(Nadaun))
147,WWRN1574,Himachal Pradesh,Kangra,Jawalamukhi,Jwalaji,Jwalaji#Kangra,A,31.8755055,76.3187711,176031,Jwalaji (Jawalamukhi),Jawalamukhi (Jwalaji)
148,LLUT2215,Himachal Pradesh,Kangra,Kangra,Kangra,Kangra#Kangra,A,32.0998031,76.2691006,176001,Kangra (Kangra),Kangra (Kangra)
